ID,Comment
  묵언수행,콜드플레이 역시 영국사람이라네....
  이혜숙,너무신나는 노래
  집가고 싶다,벅차오름이라는 감정을 영상으로 표현한거같애
  저미,콜플 사랑해
  오페opea,Baba Yetu가 인류의 엔딩곡이라면 이 곡은 인류의 오프닝 곡이 될 것이다.
  송부섭,콜드플레이.노래좋네여.내가 원하는 노래네요~^^
  아이고,이젠 이 영상을 하도 많이 봐서 이게 뮤비영상 같음
  tg An,유니버스 보고 온분~다시 들으니 아소오름 돋는다
  Roy,아니 ㄹㅇ 썸넬부터가 일단 누르고 보는겨
  Dynamic LD,라이브로 북치는게 왜이렇게 좋지
  살려주세요,내한오면 더크게 부를수있어요ㅜㅜㅠ 코로나 빨리끝나서 공연가고싶다 하ㅜㅠㅜ
  ㅋㅋㅋ,저 상태에서 흥분안하고 차분한 목소리로 이끌어가는거...나같았으면 흥을 감당 못하고 옥타브 높게 올리다 휘청거리면서 관객석으로 떨어져 팬들한테 뽀뽀당하다 질식사로 죽을듯 ㄷㄷ
  ChanChan,모두가 숨결을 공유하며 환희하던 그때를 보면 지금은 죽어 과거를 회상하는거 같은 기분이 들어 오묘합니다.
  dong fg,저는 이상하게 이노랫말이 어린시절과 어른이된 나의모습 같아요 어릴적엔 우리 맘대로 사는 왕이었잖아요 ㅠ
  김정은 대변인,마지막 개지리네 ㅋㅋㅋㅋㅋ
  민경재,진심이노래는죽을때까지들을거다
  댐앵글,코로나 전으로 돌아가고 싶어지네
  구독해도 아무 일 없습니다.,입으로 삼키기보단 입으로 내뱉는 것을 선택한 나라...
  Fisherman,영국음식 먹고도 노래 잘만드네
  jh c,무심코 tv보다가 현대카드 광고에서 viva la vida 도입부만 나오는데 진짜 찌릿찌릿
  프리한리니지,코로나 : 난 세상을 지배했었지
  권선징악,회사 출근할떄랑 퇴근할떄 들으면 가장 기분좋은 음악 포브스 선정 1위곡 시발 구라인데 그냥 들어봐 애들아. 존나 좋음
  서포,버즈 있으신분 360 오디오 키고 봐보세요미쳤어요 ㄷㄷ
  Arbalest,나의 거울과 검과 방패가 되어주오 이방의 선교자들이여 가사부터 간지남
  조뚱,공부하기싫을때마다 보러옴
  기초심,원곡처럼 안 부르고 음 조금씩 다르게 하는 거 킹받는데 콜드플레이라 참아지네 ㅋㅋ
  ㄱ,이  노래만 알고  있다는  거.....ㅠㅠ가수는  솔까  몰랐지....
  glee,너무 멋있는 크리스
  Byemylove,우어어어어어엉어어오ㅠㅠㅠㅠㅠ
  최정원,예전에 이런 댓글 본거 같은데저 많은 관중들이 호응하고 즐겁게 공연하고나중에 집에가면 그 공허함은 장난아닐거 같다고
  Kaka LAWS,1절을 들을 땐 나폴레옹 2절을 들을땐 예수 그리스도가 떠오르는 신기한 가사..(주관적인 생각입니다)
  바나나,저 형 얼굴표정도 웃을때 완전 찐텐으로 신나고 즐거워보여서 그 기운이 전달돼서 좋아
  이은성,호피폴라가 한 무대도 봐주세요.. ㅁ몀ㅁㅁ명ㅈㅂ작입니다
  E L,으니 이게 이 노래였다니..개쌉묭곡
  쏘쏘,저 북치는 아저씨가 치는게 내 심장이네
  stormifor,숙제하며 듣는 중인데 가슴이 벅차올라서 숙제를 못 하겠음..... 지금 숙제 할 때가 아니구 밖에 나가서 뭐라도 해야 할 것 같아..
  대표는못말려,주기적으로 보러와야 해
  아야오이,Viva La Vida에서 숨은 주인공은 북치시는 분이다...
  유명해지지말거라,역사공부하다가 들으면 ㅈㄴ 할맛난다
  손오공,운동 할때 들으면 마치 국가대표가 된 기분 나만 그럼??
  maple,나도 외국에서 마당있는 주택에서 살고싶다 자유롭고 불안감 없이
  잉이,이 명곡은 나 '최승원의 마음을 울렸다'
  미스터데자뷰,역시 황석희야
  땡관스러운:날,이 노래 들으면서 교육대학원 전공면접 준비했는데 노래 끝날 때 쯤 되면 연세대 교육대학원 합격해서조기졸업+성적우수졸업생 선발+우수논문상+임용고시 초수합격하는 상상까지 하고 있더라고요.어쨌거나 연세대 교육대학원 합격해 지금 장학금 받으면서 잘 다니고 있네요.+ (우와 제 채널 구독해주신 분들 모두 감사합니다!)
  김아미,음원듣다가 사람들 함성 없어서 섭섭해서 다시 왔어요..ㅎ
  ttiyoung_tti,오늘 별똥별보러 가는데 별떨어지는거 보면서 이노래 듣고싶어
  하트,️
  minkmoKR,우워어어어~ 우우어어어~이부분이랑예루살렘 띵동 로마 기병대 그부분 떼창하고싶다
  j.s kim,와!!
  엉덩이,분명 신나는데 왠지 모르게 공허한 느낌이다...쫒겨난왕과 새로 즉위하는 왕 가사 진짜 잘 쓴거같음
  MonochromeGraffiti,하루에 한번보고 마음 다잡기
  임선영,하현상팀 덕분에 콜드플레이 원곡을 들어보네요. 원곡에서는 북소리가 인상적이네요.
  유예나,이런 거 보면 눈물남 
  jjcx,오피셜 뮤비보다 이게 딱이다
  두루두루두루쳐버리기,i need lyrics!!
  영,대앰! 진짜 끝장나네
  박하준,1:04 이 분 너무 신나셨네ㅋㅋㅋ
  강지원,"""나는 퇴물이란 단어가 진짜 싫었음.. 전성기가 지났다는 거니까.. 지금은 퇴물이란 단어를 받아도 감사함을 느낌 나도 전성기가 있었다는 거니까"" 라는 명언"
  누구세용?,감동받음....
  해기,인생이라는 영화에 엔딩크레딧
  최우람,와타시...나..왜..눈물이...?
  [Yeondalrae]연달래,언제들어도 심장떨림
  현,우리나라에 다시 와주오.
  조주원,왕의 파멸정말 잘 나타냇다
  황승현,2020년대 신세대 노래 - 대충 사랑한다느니 너없으면 죽는다 응애 나 너 없으면 이렇게 힘들어 ㅠㅠ2010 구시대의 노래 - Viva La Vida
  정동진,난 진짜 신기한게 오른손으로 북을 치는데 왼손으로 종을 치는게 넘 신기해
  아예이오우,돌아가고 싶어어어 ㅠㅠ
  성식정,이렇게 환호하며 외치며 느끼는데 그들의 가사는 이해를 못하는가? 우리의 현시점은 우크라이나를 침공한 러시아다 가사를 듣고 느껴보아라 우리 콜드플레이의 현명함을....
  Sonia Brandi,그립다 얼른 코로나 사라지고 저런 순간이 왔으면
  대림동불주먹,"할아버지께서는 아빠에게 비틀즈에 대해서 말했어 ,  그리고 아빠는 나에게 퀸에 대해 말했지  , 이제 나는 자식에게 콜드플레이를 말해줄거야."
  마네킹,"""세상에서 제일 재밌는 찬송가"""
  수리수리,사랑하는 사람이 매일아침 듣고 힘내는 곡^^매일매일 힘낼수 있길..
  더블J,그립다....으아앙
  사람입니다,아니 이노래가 뭐라고 니들은 듣냐 이 노래가 좋네 쾅쾅쾅쾅! 미친듯이 좋네!!! 자동으로 고개 끄덕이고 발 손 다 움직이네.!
  강재희,중학교2학년때 정말 학교를 내가 지배했엇지....우리는 영원하니까 아따맘마
  박동진,길을 걷다가 이 노래를 듣는 순간 옆에 나무가 솟아났습니다
  푸틴,러시아 패망하고 전세계라이브하면 개지리겠다
  ㅇㅂㅇ,국어 공부하다가 들으니깐 존나 내가 한글 창제하는 기분인데+) 시험공부하느라 듣는데 ㅅㅂ 시험이 계속 미뤄져아 시험 2일 남음........나나 대박침
  꿍이,자야되는데 나도모르게 들썩들썩 거리게 되네 ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  미리남mmMan,영국이 음식을 포기하고  음악에 몰빵한 좋은예
  츠비우,aimer 버젼도 좋았는데
  HYUNIN,내년엔 꼭 같이 뛰자
  성규,걸으면서 들으면 전쟁터 속 내뒤에 천만군사 ㅇㅇ
  무야호,와 ㄹㅇ 학교 공연에서 반애들몇명끼리비바라비다 부른데서 내가 북이랑 종 동시에 치는거 했는데왜 저렇게 고개 휘적휘적하면서 치는지 알거같음한번 놓치면 바로 뇌정지와서 ㅈ됨ㅋㅋㅋㅋ
  찐소윤,아~~ 짜릿해!!! 콜플 사랑해~
  하하,저 북치는 분은 그냥 웃음밸이네ㅠㅋㅋ
  개상수,Long live Korea🇰🇷
  ᄋᄋ,잣같은 시기지만 21년부터 세상을 지배할사람 손 아니어도 손!!!!!!!
  LOGO:1090,
  호선,비틀즈 오아시스 롤링스톤즈... 마룬파이브 콜드플레이... 이다음 세대들은 얼마나 혁신적이여야 이들과 견줄 수 있나
  쩡이,내가 볼때눈 저 관중 나오는걸 우리나라에서 찍어야함 그래야 때창도 나오고 열렬한 관중들이 나오지
  안드로이드,빅 데이터 분석결과.위대한 쇼맨으로 웅장해진 가슴을 터뜨리러 오는곳
  YB Jo,NFL 하프타임쇼 콜드플레이 무대도 꼭보세요
  레몬파이,콜드플레이가 왕에서 내려온자라면저 시강쩌는 북치는 아저씨는끝까지 자신의 왕만지키는 충직한 기사같아느낌이 그럼ㅋㅋㅋㅋㅋ
  이장범,아니 싯팔 코로나 언제 끝나냐... 콘서트의 현장의 그 전율과 신남 모두가 하나 된 밝은 분위기 콘서트가 끝나면 자살 마려운 현자타임 여운 이런 것 좀 느껴보자...
  황지희,노래가 너무 슬프다...
  조현욱,한국에 왔으면 좋겠다
  롸?,제발 코로나가 끝나면 내한공연 제발 한번만 더 제발재발제발
  JK Kim,가사가 이렇게 심오한지 모르고 흥얼됬네요
  잠만보,매수 매도 버튼누를때마다 꼭듣는다
  MYUNG KEUN CHOI,민중을 통제하는 권력은 오래갈수 없죠
  해샨네,난 세상을 지배했었네바다도 내 명령에 물러서곤 했지이젠 아침에 홀로 잠들고내 것이었던 거리를 청소하네내가 진군을 명령하면적들은 두려움에 떨었건만이제 백성들의 노래가 들리네폭군이 죽었으니 새 왕께 만세!열쇠를 쥐고 있던 나이젠 방에 갇힌 신세되어이제야 깨닫네 나의 성은소금과 모래로 된 기둥 위에 서 있음을예루살렘의 종소리와로마 기병대의 합창이 들리네내 거울과 검과 방패가 되어 주오이방의 내 선교사들이여말로 설명할 순 없지만저 높은 곳에 앉으면진실함은 존재하지 않네내가 통치하던 그때처럼그 악하고 거센 바람날 그 문으로 밀어 넣었네창문이 부숴지고 북소리가 들리고나도 날 감당할 수 없었지혁명가들은 기다리네은쟁반에 올려진 내 머리외줄에 매달린 꼭두각시여그 누가 왕이 되고 싶어 하려나?예루살렘의 종소리와로마 기병대의 합창이 들리네내 거울과 검과 방패가 되어 주오이방의 내 선교사들이여말로 설명할 순 없지만성 베드로가 내 이름을 부르진 않겠지진실함은 존재하지 않네내가 통치하던 그때처럼예루살렘의 종소리와로마 기병대의 합창이 들리네내 거울과 검과 방패가 되어 주오이방의 내 선교사들이여말로 설명할 순 없지만성 베드로가 내 이름을 부르진 않겠지진실함은 존재하지 않네내가 통치하던 그때처럼
  mytrue,good song
  움찔,1:05 콜드 플레이의 매력에  빠지면 이렇게되는건가
  눈꽃천사,저런 공연 마치고 ... 혼자 조용한 방안에 들어가면 ... 그 공허함이 얼마나 클지 ...
  FRIDAY TV 프라이데이 TV,감사합니다. 이 새벽에 소름이..
  지원 김,한국공연이랑 미국공연 수나 비교하면ㄷㄷㄷㄷㄷ
  강현빈,"여기서 진짜 쩌는 사람은 일정한 박자로 노래가 끝날 때 까지 북치는 ""빡빡이 아저씨"""
  내잠속비내리는데,참 곡은 정말 좋은데가사가 영국이 저지른 학살은 돌아보게 하네정말 차가운 움직임이지
  Agnes Kim,한편으론 덧없는 것들에 대해 노래하는 것 같아요. 모래위 지어진 성처럼 근사해보이지만 덧없는 것들..하지만 그것을 슬프게 바라보는 것이 아니라 흘러간 과거처럼 그저 바라보는 듯한 느낌이에요.
  민수,딱 이것만 듣고 밤샌다
  _ LeellamarTiz,할아버지 할머니 세대 : 라떼는 비틀즈가...어머니 아버지 세대 : 라떼는 퀸이...우리세대 : 지금은 콜드플레이가...
  매운소다,첫부분만 듣고  안좋은 기억들은 생각남 아ㅋㅋㅋ
  jinda O,왕이 방탄과 협업이라니..감정이 복 받친다..그리고 그 왕은 우주까지 정복해버렸지
  명록,이겼다 라는 느낌이 드는 노래다
  아꼼,그냥 개쩐다..
  YAKU야쿠,이 노래 검색하는데 '콜드플레이 워어어'가 자동완성 목록에 있는거 미춰버릴거 같다 ㅋㅋㅋㅋ 그래요 나도 그렇게 왔어요
  부히힛,난 이 형이 하루종일 영어로 라떼는 해도들어줄 자신있다 ㄹㅇ
  Category's Diary,2017 콜플 내한 다녀와서 죽어도 여한이 없다~
  ᄋᄋ,새 왕께 만세 부분에서 소름 돋음
  개상수,대한민국 만세🇰🇷
  Mihee Kim,조동사 used to 를 설명하기  좋은 가장 멋진 팝
  유선환,저거 이후로 빌보드 1등 못했죠ㅠ 하지만 2021년 아미와 콜라보로 결국 이뤄냈죠 ㅎㅎ2017년 Something Just Like This 빌보드 3위
  GRAY,예루살렘의 종소리가  라는 가사에 실제로 종치는 소리가 나즈막히 들리는게 최고인듯
  김명순,아 그립다
  O Pern,Roll the dice 가 진군을 명하는거였구나.. 시져였구낭...배운놈가사랑 배운놈 번역..
  Julia Hwang,뭐든지 할 수 있을것같다..!
  MOLY,중간고사 1시간 전 공부는 하나도 안했지만 올백각이다
  junwooyeyo lee,시그니쳐 오오오오 ~오오~~~~이건 거의 비중이 없네....엔딩에 잠깐 나오네....이거 들을려고 본건데....
  ㅇㅇ,그래 이 북소리가 내 심장을 울린다고
  Luxu Lee,신나는 비트에 서글픈 가사.그런데 응원이 됨.
  qkrgk,영국이 음식을 포기하고 프랑스가 음악을 포기할 때 왜 우리는 먹을 거 재배하면서 노래했냐고
  풋볼 포레스트 - Forrest Football,죽기전에 한번이라도 실제로 보고 느낄 수 있을까
  삼구삼구,진짜 댓글보고 대머리 아저씨 비춰줄때마다 뿜음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  시핫가앗,진짜 늙으셨다는게 느껴진다....옛날에 잘 부르시던 노래를 지금은 폐활량이 많이 나빠져서 부르기 힘드신 듯
  강라성,맨 위에 있던 도미노가 무너지는듯한 아름다움
  김휘권,가사대로 코로나는 폭군이고  코로나 종식되는 날 폭군이 죽었다는 의미로 이 노래가 울렸으면
  ᄀᄂᄃᄅᄆᄇ,3:11 응원봉 동시에 불켜지르거 쌉소름...
  whatwhy,크리스 너무 뛰어서 호흡이 ㅋㅋㅋ
  BNF,가사를 들으면 다르게 들리는 노래
  ㅅㅅ,여기 번역 맛집이네 ㄷㄷ
  황한민,이거 화장실에서 틀어주면 쾌변각인데
  Meow Books,카메라가 너무 열일 해서... 사람들 WHoa할 때 전율이 일고 눈물이 다 나네.. 저 기분 어떨까. 현장감이 그냥 훅 치고 들옴.
  Spooon,이노래는 북을 뿌실듯이 치다가 중반부부터 죽을듯이 종을 치는형이 하나의 킬포이다
  Anthony Lee,우크라이나 국민에 희망과 푸틴에 절망을 …
  경훈,힘 없을 때마다 듣는 노래.. 음반은 이 느낌이 나지않어 ㅜㅜ
  LPG,문명시리즈 할때마다 틀어놓고하면 전율 미치던데 ㅋㅋ..이젠 하고싶어도 못하네
  김동섭,북치는아재 진짜 팔힘 대단하다 ㄷㄷ
  dh choi,그냥 그런 인생들에게도 노래듣는 순간만큼은 정복자라느니 왕이라느니 나불대게 해주는 노래.. 댓글들보면 알잖아 ㅋ
  우와싱기,대학교 기숙사에 쳐박혀서 공부만하다가 이 영상 보니까 한대 맞은거 같네요. 나는 무엇을위해 공부를하지. 저렇게 즐거운 인생을 살려면 분명 공부가 정답은 아닐텐데 .. 나는 왜 공부가  정답이 아닌걸 알면서도 계속 손에 펜을 쥐고있지.. 나는 왜  인생을 즐기지 못하지.... 내일이면 이 기분도  사라지고 다시 익숙한 펜을 잡고 기숙사에 쳐박혀서 공부를 하겠지
  영징,면접 너무 떨리지만 열심히 능력껏 잘 해오겠습니다!
  짱민,이거 진짜 콘서트 찍은거에요?무슨 영화에 한 장면같네......
  Carrera 119,2:53 와 북치는 형 팔에 테이핑까지 하셨네 ㄷㄷ 진짜 보기민 해도 힘들다
  민깅이,북치는 둥둥맨!!박력있다 ㅋㅋ
  Summer Rain,4분이 순식간에 지나가버리네
  x,이영상은 수도 없이 봤는데 볼때마다 벅차오르냐
  high high,요즘 듣기 좋은 노래
  Chee ze,옛날에 전쟁할때 왜 타악기를 쳤는지 바로 이해가 됨 내한때 북소리 듣자마자 속에서 막 끓어 오르더라ㅋㅋㅋ
  psd,초딩시험에서 중딩시험으로 가는 내 마음
  ㅇ,새벽에 감성충 돼서 지금은 코로나 때문에 저렇게 우글우글 모여있지 못하는 게 너무 서러움; 낮엔.. 그냥... 그럼.. 적응됨 근데 새벽에 할 일 다 끝내고 드러누워서 사람 소리 시끌벅적한 영상 틀어놓으면 괜히 빡치고 서러움
  W A,왕이란 얼마나 찬란하고 비참한 존재인것가
  김하민,확실히 잔나비는 이곡은 못살렸다 콜플밖에 못살린다 이건
  이령 Yiryeong,한 편의 영화를 본 느낌이다
  롱100배,이것만 들으면 나도모르게 책상을 북소리에 맞춰서  치게되네
  라피아나,수 번도 더 본 영상인데 어느순간 내 시선이 북치는 대머리오빠만 찾고있어....
  조연않사,'세상에서 가장 감미로운 Latte is horse'
  아모포,"IPCC 2021 기후변화 보고서 읽고나서""인류의 역사가 비디오게임이면 이 노래는 엔딩 크레딧으로 나올 노래""라고 하던 댓글 생각나서 와봤습니다내가 인류의 마지막 시대에 살 줄이야;;"
  박세준,2:11 북치는데 손넣다 놀래는 북치는 아저씨 ㄱ웃기네 ㅋㅋ
  Wake Me Up,내한 안하나... 목청 빠지게 후렴구  부를 자신 있는데
  정현웅,이런 가사를 한국어로 쓰면...화려한 조명이 나를 감싸네..?
  안이준,오오 몇년만이다
  호로로롤호로로로롤,와 저기 있으면 약간 팬이 아니라 신도가 될 것 같은 느낌이자나
  오늘내일모레매일놀아보자,"노래가 뭐 이리 멋있냐,, ㅠㅠ가사 하나도 몰라도 그냥 벅차고 희망차마지막 떼창까지 그저 완벽"
  JW C,아 .. 가슴이 웅장해진다 진정한 명곡 ..
  Ace Lee,영어 소설쓰다 들었는데 해리 포터보다 더 많이 팔리는 거 상상했다
  Coolweather 94,"목 쉴 정도로 떼창할 준비 얼마든 되어있습니다! 코로나 제발 얼른 끝나고서, 형들 한번만 다시 내한 꼭 와주시면 안될까요.  형들의 노래에 늘 힘을 얻습니다. ️"
  근하하하하하,이게 실제 콘서트 영상인가요?
  유튜브중독,노래는 군중을들썩이게하고군대는 군장을 들썩이게한다
  ez,노래 들을때마다 진짜 가슴이 웅장해진다
  나리,진짜 들을 때마다 웅장이 가슴해진다...
  문준석,오오오오오오오오오오 오오오오오오오 팝송쳤는데 기가 막히게 찾아주네ㅋㅋㅋㅋㅋ
  메롱홍홍,가끔 지칠 때 들으면 진짜 좋음
  사라동생,더 분발해 주세요 콜드플레이!남편이 이 노래를 들어본 적이 없대요;; ㅎㅎ
  장래희망공룡,이거 가사 잘보면 약간 찬송가+팝송 같음
  힐링송TV,음악의 힘은 대단하다
  추천인 5000꽁돈?!?!?!?!?,노래 너무 좋아연... 
  두 개,그렇게 그 열기를 몰고서 떡상했다고 한다
  김석,진짜 오랜만에 듣는데 심장 터질라고 하네
  겐츄리,어떻게 따라 부르는걸 참을수 있지??
  오상은,예루살렘의 종소리와 로마 기병대의 목소리가 들리는 듯 하다는 가사는 대체 어떻게 쓰는거지
  Photography[H],가사와 반대로 그루브한 리듬...넘 좋다 ㅠㅠ 내일 퇴근하고 나면 음반매장 들러야겠네요.
  김예현,내일 수능이다 이 노래 듣고 잔다 만점 받을 것 같은 기분이다 수능 까짓거 내가 조진다
  야금,노래가 진짜 벅차오른다... 콘서트장에서 들으면 눈물 질질 흘릴 듯
  갑돌이,가사가 예술임
  서서,1:00 여기 뭔가 좋음
  박선욱,마스크 없이 이런 콘서트 즐길 수 있는날이 오길..
  샤이니그린,하루빨리.코로나가 사라지길..ㅠㅠ 이장면들 보니 괜히 눈물나네요 콜드플레이 한국오고파 한다는데...call주최?가 없는듯 ㅠㅠ
  Jason Jung,번역은 이렇게 하는거구나..
  윤,이 노래 너무 좋아
  yoooji ji,언제쯤 코로나가 끝나서 공연장의 그 벅참을 다시 느낄수 있을까ㅠㅠ 진짜 콘서트 가고싶을때마다 이영상 보는거같음...
  IABLIY,썸넬 왤케 디즈니 같아요? 약간 주토피아에 나올법하다.. 나만 그래보이나
  김영서,진짜...볼륨 최대로 하고 보고 있다 보면 어느 순간 전율 돋으면서 눈물 나온다....코로롱 아니었던 때로 돌아가고 싶네......
  ᅵᅳᅵ,와앀ㅋ 나였으면 신나서 둥 둥 둥 둥 가다가 ㄷ우두우두우두ㅜ우두웅두우ㅜ두우두ㅜ욷 이랬다고 ㅜㅜㅜ
  노을빛,2020/8/24 원하는 대학 수시로 합격후 오겠습니다.수시발표 11월..그때 좋은 결과 들고 오겠습니다.2020/11/3 드디어 수시결과합격했습니다!!이 노래가 절 합격의 길로 이끌었습니다!
  유은재,독서실에서 기분 좀 쳐질때 들으면 중학교때 내한공연 간 기억이 나서 행복해진다수능 끝나고 코로나 끝나면 내한 다시 와주라 제발 ㅠㅠㅠㅠㅠ
  이재겸,끝이라는 지점에 어울리는 노래인듯
  김민경,3:00 조졌다
  SweetVoiceKR,뻔히 알던 노랜데오늘따라 더 뭉클하네...ㅠㅠ
  Song Kw,누가 그랬는데 이곡 인류 대표곡이라고
  이지영,북치는게 얼마나 힘드나 싶어서 침대 쾅쾅 치면서 노래들었는데 정줄 놓고 치는 이유 알겠음
  I Hwang,2014년인가 2015년에 영국에서 이 노래를 듣고나서 이 노래만 한창 들었던 생각이 나네.이 노래 들으면서 얼마나 큰 힘을 얻었던지..기억이 새록새록..
  특바리,인생에서 성공하면  이런 기분이겠지
  이은영,"이 노래 들을 때 기분을 가사처럼 말로 설명할 수가 없음,,"
  _케이팝고인물,팝송 가사 진짜 못외우는데 부르고 싶어서 아득바득 외운 노래...
  f rr,"이 노래를 들어야 할 사람들 : 직장에 있는 꼰대갑질상사들, 정권교체 앞둔 정치인, 전역앞둔 진상말년병장 기타 등등"
  김민우,이 노래듣고 소름이끼쳤다.. 내 최애다
  히힣,2:11 저건 못참지 ㅋㅋㅋㅋㅋ
  내폰은삼성폰,할아버지 할머니세대 비틀즈부모세대 퀸우리세대 콜드플레이
  아아,와 가사 완전 서사적이다...
  sooniful,17년 슈퍼콘 가서 이 전율을 느낀 내 인생이 레게노였군.... 다시 그런 날이 올까?
  제임스,노래 춤 무대 매너 다 좋은데 마이클 잭슨 영상을 한참 보다가 보니까 그냥 일반인이 노래하는 것처럼 보이고 일반인한테 관중들이 왜 저러나 싶은 마음까지 든다는ㅋㅋㅋ
  들리안hear,2021년에도 보는 무대 레전드다 흑 실제로 보고싶다 나도... 
  추니끼,♡
  오징어88마리,한국인: 저정도 때창은 이미 초등학교 수련회에서 마스터 했지...
  블러드케이,도대체 이 노래는 몇년을 들어도 촌스러워지지가 않는거냐
  새도도,1년만....노래진짜....진짜 사랑하
  Gabriell Jo,한국 떼창은 전래없구먼
  태희,언젠간 저렇게 콘서트를 즐길수 있는 날이 오겠지?
  개굴개굴,내년 4월 내한 진짜 가고싶다
  Are R,여러분 새해 복 많이 받으세요
  새도도,왕은 끝도 없이 펼쳐진 퍼런빛 하늘의 주인이었고 파도에 휩쓸리는 바다를 손에 쥐고있었겠지 눈에는 지혜의 빛이 돌았고 그 분위기가 미쳤겠지그 왕이 이제 늙어서 왕국이 번성하고 타국이랑 교류도 하고 막 세계최고 제국이 된걸 봤울때 가분이 어땠을까...하씁 이노래 가사 미친거 같아
  아아아,저렇게 수만명이 자신을 바라보면 무슨 기분일까요?
  길거리에서 지나치는 사람들 중 하나,4년 전부터 지금까지 듣고 있는 노래.
  신루미,음악의 웅장함에 걸맞는 가사i used to rule the world라니 패기보소
  gomdol's,벅차오른다 ..!!! 
  안녕하세요,존좋..
  Daehyuk moon,노래 듣다가 갑자기 유에프씨 챔피언이 되어있었다
  말양,1:24 지리는 하이라이트 시작
  현이,0:09 1:05  아 이분 너무 열정적이셔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진심이 느껴진다
  글쎄야,와  멋져요  최고입니다
  Kloe,우리 아빠 최애곡
  소실,마이크랑 야외때문인진 몰라도 원곡보다 목소리가 젊어보이네
  2019년,이거 내한공연인것같은데 외국인  엄청 많아서 외국에서 공연한건줄..
  김재균,궁금해 하신분들이 있을까봐 적어요 2:52 이부분에서 성베드로가 내이름을 부르지 않겠지 라는 뜻은 예수님께서 성베드로에게 천국으로 가는 열쇠를 주고 그 열쇠로 사람들을 천국으로 데려오라고 하셨어요. 그래서 가사에서 왕의 부패해서 부르지않는다는거죠 즉 천국은 못간다 이말입니다 긴글 읽어주셔서 감사합니다
  지리산불곰,나도 저런 공연한번 가보는게 소원인데.. 이걸 코씨가 막네 ㅠ
  백종근,언제쯤 저런 시절로 돌아갈 수 있을까요
  원준,ㄷㄷ
  심연희,심장이 떨리는 노래
  춘식이의 일상,Wow
  김명환,미친 베이스드럼을 노래시작부터 끝까지 팔로치네 ㅅㅂㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  이현수,첨 듣기 시작한 6년전부터 폰을 4번 바꿔도 한번도 빠짐없이 플레이리스트에 있던 곡뭔가 시작할때 듣고 있으면 웅장해서 의욕이 넘치게 하는 곡죽기 전에 듣고 죽고 싶은 곡
  정글의법칙,이거 들으려고 소니 헤드셋 샀다.. 후회 절대안한다 자본주의 맛이 존나 달구나
  Li maildvd,이 노래 들으면서 나폴레옹 전기 읽으면 나도 덩달아 영웅이 된 기분 ㄷㄷ
  월하,무기력해질때마다 와서 듣는 노래
  김동철,았싸!! 콜드플레이당!!!!!!!!!!!!!!!!
  횬땅,언제쯤 코로나가없어지고 다시 저런일상으로 돌아갈까....?
  마이로펜타킬하기,와 저기 북치는 사람이 나엿으면 좋겟다 한번쯤 저렇게 사람들이 많은 곳에서 환호를 받으며 살고싶단 생각이 든다
  싸우지마,2:12 저거 손 맞았으면 ㄹㅇ 갑분싸
  천사새우,이 노래 들으면 항상 소름...
  움라,이 노래 들으면 엄청 위대한 사람 된거같음
  SUNG WOO JO,북멍~! 북소리에 빠져드네요. 재생을 몇 번이나 하고 있는지..^^;
  JWOO O,표절의혹있어서 노래 다르게 부르는것도 킬포고윌챔피언형 북이랑 종치는거 주기적으로 봐줘야됨 ㅋㅋ
  강아지키우는나,영국 꼭 간다
  유원동,북소리랑 종소리 들으면서 점점 신나지는데  대머리 아저씨볼때마다 내 팔에 힘이빠지는거같네..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  이름,매번 들을때마다 느끼지만 11년전이 아니라 1년전에 나온 노래같네..
  허니헌이나잇,내가 이 가사 왜 외우고 있나 했더니 어릴 때 영어 학원에서 가르쳐줬었네ㅋㅋㅋㅋㅋㅋㅋ
  안혜림,"타락한 성공에게 희망을,우리는 위대했음을"
  o e,3:17 진짜 행복하고 벅차보여
  이해성,저렇게 마스크 벋고 뛰어 놀고 싶네 ㄹㅇ
  노영훈,다신 못올밴드같아서 이틀전부 갔다왔는데 돈 정말잘쓴거 같다
  DH J,좀 뜬금없는데 허리에 브라질 국기 묶은 거 멋있다 그냥 이 분위기가 너무 좋아
  무파마,버킷리스트: 1. 콜드플레이 콘서트 가기
  경수수수,빨리 코로나가끝나서 평범한삶마스크없는세상에서 아버지랑낚시나가고싶네요
  폭소,ㅈㄴ추억돋네 서울 첫여행때 이노래첨알았는데
  이현준,"노래이름 기억 안나서 ""라비라미다""라고 검색했는데 바로 나오넼ㅋㅋㅋㅋㅋㅋ"
  물빼는하상무,언제 쯤 저렇게 때창 부르는날이 오려나.....
